"","X","Y","H","DBH"
"173",754461.293254407,3389193.51551289,3.1561765,0.125
"174",754451.015604494,3389184.81862716,3.39044299999999,0.0883883476483184
"175",754477.710893239,3389227.59377943,3.1201875,0.395284707521047
"176",754566.668724997,3389259.15668796,3.0678212,0.5
"177",754552.822872823,3389255.41540434,9.121938,0.678923780700013
"178",754552.220285474,3389269.46970238,6.35540119999999,0.515388203202208
"179",754548.391469197,3389267.4351861,6.0365604,0.125
"180",754501.443652103,3389211.09297056,1.519266,0.565961571133589
"181",754475.020034863,3389225.20467356,3.5743818,0.537645329190164
"182",754470.233990651,3389202.37022869,7.190516,0.0883883476483184
"183",754480.698284204,3389230.146539,3.484713,0.55198505414549
"184",754522.059350791,3389264.85161502,3.2764395,0.522912516583797
"185",754524.277558951,3389247.858045,4.21896249999999,0.530330085889911
"186",754904.675227715,3389530.73477949,6.014254,0.197642353760524
"187",754896.75806681,3389524.05404973,7.258655,0.153093108923949
"188",754894.498609086,3389534.85165936,4.5733368,0.153093108923949
"189",754894.356668509,3389521.60293568,2.1327989,1.05326872164704
"190",754891.679822072,3389519.89205886,6.02077749999999,0.153093108923949
"191",754890.586938269,3389531.61579531,6.5066314,0.21650635094611
"192",754889.280378714,3389517.80503794,4.4843448,0.176776695296637
"193",754887.146097597,3389516.29549052,6.152415,0.233853586673371
"194",754885.655668334,3389527.38618352,5.7438768,0.176776695296637
"195",754883.03637503,3389525.28672653,4.57906959999999,0.153093108923949
"196",754876.937236098,3389506.23851755,1.75703559999999,0.475985819116494
"197",754875.544243531,3389504.97771045,1.82764839999999,0.643476883811688
"198",754875.204763044,3389518.99639402,6.38057959999999,0.197642353760524
"199",754863.477425016,3389510.85963631,6.006003,0.618718433538229
"200",754873.484606126,3389517.27962201,4.58172999999999,0.176776695296637
"201",754855.504721531,3389489.55755399,7.39890879999999,0.197642353760524
"202",754874.696123544,3389504.31547568,1.846221,0.57282196186948
